Steps,_lr_multiplier,_Episode,_max_adv,_min_adv,_std_adv,_mean_discrew,PolicyEntropy,ValFuncLoss,_max_act,ExplainedVarOld,_min_obs,_std_obs,_max_obs,_max_discrew,_min_discrew,Beta,_min_act,PolicyLoss,_MeanReward,_mean_act,_std_act,KL,_std_discrew,ExplainedVarNew,_mean_adv,_mean_obs
2032,1.0,600,1.0017046585308549,-2.4488212169159613,0.9997895182573188,0.0,0.96023846,9.541584453012108e-05,2.5425024,0.9999344690564003,-0.5890865832588429,0.03238369814810321,0.7066563151831389,0.0,0.0,0.6666666666666666,-2.2729566,-0.0012430553,-101.6,0.2683186,0.4248582,0.0019227522,0.0,0.9999507467766268,-7.692883950158565e-17,0.09170658139334784
2032,1.0,620,0.2633419231474808,-7.078656857846923,0.9999999180713698,-13.254695736607404,0.9618868,1856.133144324627,2.2416801,1.2855043685089385e-07,-0.5876717926252628,0.03322160748610144,0.6882875323802086,0.0,-179.2061155574916,0.4444444444444444,-1.9531304,-0.0005800224,-201.5,0.33194804,0.40667617,0.0014153831,1758.2254818482172,2.1698838414963006e-06,-2.7974123455122054e-17,0.08190145705682594
2052,1.0,640,2.4817839285262155,-1.143113441477723,0.9999971032971658,0.0,0.96667814,21.961395071176913,2.5074923,0.999999445338772,-0.5861722414858335,0.03321372131959728,0.6713512112314641,0.0,0.0,0.6666666666666666,-1.6990649,-0.004234724,-102.6,0.34274954,0.40886974,0.0076475553,0.0,0.9999992070420284,-1.6101480123218644e-16,0.08176474990174326
2153,1.0,660,2.519422902947515,-1.2158044515846638,0.9999979371231541,0.0,0.9690832,8.826976939563894,2.5111635,0.9999974411447089,-0.5846874194198891,0.036119118603475574,0.6557606702364006,0.0,0.0,0.4444444444444444,-1.9263713,-0.0007531027,-107.65,0.32502392,0.40068278,0.0009120253,0.0,0.9994553371602038,-1.0890808304729822e-16,0.0692030229882817
2104,1.0,680,2.491140939350723,-1.2249342328185673,0.9999967815608843,0.0,0.9708018,0.04853223106294,2.7539425,0.999760027741703,-0.5827818452094744,0.03341449420859047,0.6422402280695144,0.0,0.0,0.2962962962962963,-2.119338,-0.00019250443,-105.2,0.31380257,0.39807582,0.0008814136,0.0,0.9967957718793922,-1.6885521287074624e-17,0.07334256529023267
2091,1.0,700,1.7527485422113531,-6.414096143085513,0.999976102292767,0.0,0.97103244,0.012887487822103338,2.730942,0.996659464097912,-0.5812043882085528,0.03309115970506659,0.6293996335642681,0.0,0.0,0.2962962962962963,-2.0306997,-0.00080563826,-104.55,0.29705295,0.40602836,0.0020562606,0.0,0.9950948825267032,1.716040562213537e-16,0.07177588571222367
2125,1.0,720,1.3697281217844286,-5.3029287617156085,0.9999759932885953,0.0,0.96913475,0.002133751289442648,2.4833214,0.9935871345509155,-0.5797136250088158,0.033314684865350185,0.6172404493685146,0.0,0.0,0.2962962962962963,-1.9092534,-0.00095985236,-106.25,0.27912286,0.40045756,0.0022645455,0.0,0.9979786728528655,-1.3374922084896004e-17,0.06695153820874074
2190,1.0,740,1.6033934772217115,-6.017035449597475,0.9999542829304028,0.0,0.9653441,0.0007735094297090775,2.725627,0.9974882158115614,-0.5781669011124815,0.033598159093309175,0.6061557550617037,0.0,0.0,0.4444444444444444,-1.8151791,-0.0023201052,-109.5,0.2522864,0.4028521,0.006122952,0.0,0.9992341941856824,-7.300096600275001e-18,0.061146008112636555
2452,1.0,760,1.5853431772198452,-12.103910569249049,0.999940896092156,0.0,0.9613068,0.0005667533427353894,2.2954314,0.9981913486543917,-0.5765072319438409,0.034653103593127475,0.5963944590506403,0.0,0.0,0.6666666666666666,-1.9714335,-0.0024976947,-122.6,0.19752923,0.4180248,0.0073001515,0.0,0.999433644780734,-1.1591235493639482e-17,0.03951968401404488
2598,1.0,780,2.099534528459064,-8.6226184528669,0.9999019329469967,0.0,0.953778,0.00021838171921196098,2.747261,0.9992811982950295,-0.5743124660817359,0.03633504067075548,0.5894012023636972,0.0,0.0,1.0,-1.9934702,-0.0076860753,-129.9,0.1790884,0.39593163,0.0066464557,0.0,0.9997816433142663,3.281952590115936e-17,0.0274284005966341
