_Episode,PolicyEntropy,ValFuncLoss,Beta,_std_act,_std_adv,_lr_multiplier,_min_adv,_mean_adv,_max_adv,_max_act,ExplainedVarOld,_min_obs,ExplainedVarNew,_std_obs,_mean_act,_max_obs,_MeanReward,_min_discrew,_min_act,_mean_obs,_max_discrew,_mean_discrew,_std_discrew,PolicyLoss,KL,Steps
420,0.8877552,2509.8090069736413,0.4444444444444444,0.35592237,0.9999998828187208,1.0,-3.057526283893345,-2.686361949943668e-16,1.3851433622033886,2.663474,0.16962759575805952,-2.235192046593496,0.16300867281810993,0.0447468664956142,0.45361677,0.6865010534667434,-110.75,-218.0,-1.4615895,0.03935162012299442,-1.0,-59.066162570888466,1536.0513881096765,-0.0014654954,0.00677274,2116
440,0.88971454,2976.3135531701187,0.4444444444444444,0.34034994,0.9999998950561907,1.0,-3.6340179644403103,-1.2471739876822822e-16,1.3904726636674754,2.2901416,0.1337403002531381,-2.2478919454840174,0.14330889876756858,0.04188484791659681,0.43265426,0.6844208439861037,-112.45,-210.0,-1.4927492,0.042559029254400554,-1.0,-61.92881521209166,1802.5410078112948,-0.0033622836,0.0039888527,2051
460,0.8915026,2878.3108440065594,0.4444444444444444,0.360984,0.99999989450828,1.0,-3.5947749003620824,1.6164671535590806e-16,1.3650032523344022,2.6158001,0.14239037074290217,-2.262073375913508,0.09923285804869919,0.037449351359259586,0.40375227,0.6814533842122633,-111.0,-205.0,-1.8793637,0.04661861041417159,-1.0,-61.15479723046489,1770.057640191328,-0.0015032643,0.0031310332,2022
480,0.89396757,2849.408890063979,0.2962962962962963,0.33110017,0.999999900045885,1.0,-3.157775803536055,4.191992541357523e-17,1.6091419431592973,2.698427,0.0930722652961462,-2.2808420828419957,0.08960156434692412,0.03704712366761045,0.45494574,0.676979647049824,-111.6,-202.0,-1.3568017,0.03945871359646784,-1.0,-61.257128810226156,1742.8183488850793,-0.00055368233,0.0006380707,2034
500,0.89492726,2285.009263305416,0.4444444444444444,0.35158232,0.9999998919736125,1.0,-3.117257257312019,-2.680029177784442e-17,1.7234016298281123,2.3621407,0.11102997514343205,-2.300294799808321,0.1381111663065394,0.03576981540225842,0.391076,0.6754002934187122,-111.0,-201.0,-1.3671806,0.03573513638030752,-1.0,-58.43988684582744,1382.1398328962016,-0.0026957088,0.00791821,2121
520,0.89538914,4795.013338128566,0.4444444444444444,0.34785482,0.9999999136750292,1.0,-2.915030950185947,6.656958569744528e-17,1.5931855786912217,2.4442847,0.07334943340122735,-2.3254771395710474,0.04827410357277295,0.04032508620445051,0.5147528,0.67255314204212,-126.15,-199.0,-1.3108835,0.0394457433632766,-1.0,-75.11489151873768,2563.849225974425,-0.001007304,0.0040282863,2028
540,0.8964272,2920.645600301895,0.4444444444444444,0.3584023,0.999999902841462,1.0,-2.4454078764351936,-2.0585496931726707e-17,1.7556639925061086,2.3504014,0.06906088054232984,-2.340227469508403,0.06967701628667289,0.04181385340423748,0.52093244,0.6712904425070695,-113.45,-203.0,-1.5071515,0.034125182905876794,-1.0,-62.288749396426844,1781.7505204543393,-0.0013448878,0.0033172178,2071
560,0.8928858,3023.395503193249,0.4444444444444444,0.35272044,0.9999999029560627,1.0,-2.446734836268097,6.6843154822210744e-18,1.810056627356303,2.8325524,0.06638089959938898,-2.354146946281099,0.10443564215790457,0.04411290390273533,0.49141803,0.6671791824924674,-116.2,-205.0,-1.4637322,0.029956227177156857,-1.0,-63.568673565381,1818.0872406676642,-0.00197348,0.0015162991,2126
580,0.89363015,3546.010471775551,0.4444444444444444,0.3987981,0.9999998990074985,1.0,-2.4297397085044268,1.1268519157428902e-16,1.7192486635024757,2.7913861,0.10145001327970382,-2.3662016301521067,0.12736713173905723,0.0539480078262316,0.474767,0.6681691701498395,-123.4,-212.0,-1.8138833,0.010127820752140679,-1.0,-67.94757709251101,2038.0752254070521,-0.0056124735,0.0048388257,2270
600,0.8974983,1998.7024483753482,0.6666666666666666,0.37077323,0.9999998865407126,1.0,-4.399490549010326,1.8671195976177815e-16,1.529215167433539,2.619985,0.16910456118509243,-0.45939765561856927,0.17730251668949748,0.030748340478370127,0.52538633,0.664844719038987,-107.7,-192.0,-1.640007,0.038932649472641453,-1.0,-56.456934306569345,1269.0685833022537,-0.0018400897,0.0064875027,2055
